"content","key_term","concept","ls","Emotions","Contributor","title","URL","Created_time"
"“Within five years, I lost both my aunt and my mother to cancer. So, when I go to H Mart, I’m not just on the hunt for cuttlefish and three bunches of scallions for a buck; I’m searching for memories. I’m collecting the evidence that the Korean half of my identity didn’t die when they did. H Mart is the bridge that guides me away from the memories that haunt me, of chemo head and skeletal bodies and logging milligrams of hydrocodone.”

— Crying in H Mart: A Memoir by Michelle Zauner
https://a.co/1QSvs1R",,,Adolescence,"Acceptance, Nostalgic, Sadness",Michelle Zauner,Crying in H Mart: A Memoir,,"March 31, 2024 2:34 PM"
"“Within five years, I lost both my aunt and my mother to cancer. So, when I go to H Mart, I’m not just on the hunt for cuttlefish and three bunches of scallions for a buck; I’m searching for memories. I’m collecting the evidence that the Korean half of my identity didn’t die when they did. H Mart is the bridge that guides me away from the memories that haunt me, of chemo head and skeletal bodies and logging milligrams of hydrocodone.”

— Crying in H Mart: A Memoir by Michelle Zauner
https://a.co/1QSvs1R",,,"Adolescence, Young adulthood","Acceptance, Nostalgic, Sadness",Michelle Zauner,Crying in H Mart: A Memoir,,"March 31, 2024 2:34 PM"
"“What we’re looking for isn’t available at a Trader Joe’s. H Mart is where your people gather under one odorous roof, full of faith that they’ll find something they can’t find anywhere else.”

— Crying in H Mart: A Memoir by Michelle Zauner
https://a.co/dQ6QRKT",,memoir,Young adulthood,"Interest, Nostalgic, Serenity",Michelle Zauner,Crying in H Mart: A Memoir,,"March 31, 2024 2:29 PM"
"“We sit here in silence, eating our lunch. But I know we are all here for the same reason. We’re all searching for a piece of home, or a piece of ourselves.”

— Crying in H Mart: A Memoir by Michelle Zauner
https://a.co/91fKb2U",,,"Adolescence, Middle adulthood, Young adulthood","Interest, Nostalgic, Sadness",Michelle Zauner,Crying in H Mart: A Memoir,,"March 31, 2024 2:29 PM"
"“wonder how many people at H Mart miss their families. How many are thinking of them as they bring their trays back from the different stalls. If they’re eating to feel connected, to celebrate these people through food. Which ones weren’t able to fly back home this year, or for the past ten years? Which ones are like me, missing the people who are gone from their lives forever?”

— Crying in H Mart: A Memoir by Michelle Zauner
https://a.co/23cI9NK",,immigrant experience,"Middle adulthood, Young adulthood","Nostalgic, Sadness",Michelle Zauner,Crying in H Mart: A Memoir,,"March 31, 2024 2:24 PM"
"“I think about my family who lived in Korea, before most of them died, and how Korean-Chinese was always the first thing we’d eat when my mom and I arrived in Seoul after a fourteen-hour flight from America.”

— Crying in H Mart: A Memoir by Michelle Zauner
https://a.co/5kfuk48",,memoir,"Adolescence, Middle adulthood, Young adulthood","Nostalgic, Sadness",Michelle Zauner,Crying in H Mart: A Memoir,,"March 31, 2024 2:23 PM"
"「You launch into a monologue about how we’ve been socialized. Where did we learn about the American dream? What role models were available to us? You pontificate on the meaning of Michael Chang. Do the lessons passed down to us by books or movies or TV apply to our lives as Asian kids with Asian parents, or do they make us feel inadequate? Why are we always working so hard, proving our smarts, living up to someone else’s standards? Maybe it’s all a trap. Why are we looking out for help, when it’s all around us? We are not men without a culture. We just have to make it ourselves.」

—Stay True: A Memoir (Pulitzer Prize Winner)，作者：Hua Hsu
https://a.co/2BF5xuh",,"Asian American experience, cultural pride, identity",Adolescence,Interest,Hua Hsu,Stay True,,"March 29, 2024 3:28 PM"
"「He models his behavior after characters on TV, and he has no idea who he really is. In the margins, Ken sketched out a statement of philosophy, riffs and observations around Asian American identity.」

—Stay True: A Memoir (Pulitzer Prize Winner)，作者：Hua Hsu
https://a.co/6WTaX9x",,identity crisis,Adolescence,Interest,Hua Hsu,Stay True,,"March 29, 2024 3:24 PM"
"「The immigrant’s resourcefulness requires an exhaustion of possibilities. You may master tenses and forms, grammatical rules, what passes for style. And yet, consequently, you may struggle to hold a conversation with your grandparents.」

—Stay True: A Memoir (Pulitzer Prize Winner)，作者：Hua Hsu",,"immigrant experience, language, memoir",Adolescence,Pensiveness,Hua Hsu,Stay True,,"March 29, 2024 1:45 AM"
"“We were editors for Hardboiled, the college Asian American newspaper. At our first meeting of the year, the staff shared story ideas—a retrospective of the Yellow Power movement, the experience of Hmong and Mien kids in the East Bay, sweatshop labor in the Pacific Islands, campus turntablists, the enigma of Asian American conservatives, the subversive politics of lowered Acuras, modified Integras, and street racing.”

— Stay True: A Memoir (Pulitzer Prize Winner) by Hua Hsu
https://a.co/bji1Cd5",,"Asian American experience, Pulitzer Prize Winner, memoir",Young adulthood,"Interest, Nostalgic",Hua Hsu,Stay True,,"March 27, 2024 11:43 AM"
"「snacks. I grabbed a pack of baseball cards as I was checking out. One of the girls, a tough thirteen-year-old named Megan, asked if I wasn’t too old for baseball cards. I said something to her about the lure of nostalgia, and memories of childhood, and wanting to grasp at those feelings of carefree innocence again.」

—Stay True: A Memoir (Pulitzer Prize Winner)，作者：Hua Hsu
https://a.co/aKb5jKb",,,"Adolescence, Middle adulthood, Young adulthood","Joy, Nostalgic",Hua Hsu,Stay True,,"March 24, 2024 12:26 PM"
"「My father often referred to himself as “Eastern” or “Oriental.” He didn’t get why it was so important to call ourselves “Asian American,” a term that barely existed when he first arrived in the United States.」

—Stay True: A Memoir (Pulitzer Prize Winner)，作者：Hua Hsu
https://a.co/j2H9z4H",,,Adolescence,Interest,Hua Hsu,Stay True,,"March 24, 2024 12:49 AM"
"「My parents were spending more time in Taiwan. I had prepaid phone card numbers written everywhere, but I could never remember which ones worked, or which country and city codes to dial.」

—Stay True: A Memoir (Pulitzer Prize Winner)，作者：Hua Hsu
https://a.co/4IjXHKv",Skype,"Hua Hsu, Pulitzer Prize Winner, SIM3, adolescence, assimilation, attachment, belonging, cultural, cultural difference, cultural pride, culture, embarrassment, family, fear, identity, identity crisis, immigrant experience, immigrants, inhibitions, isolation, language, language barrier, memoir, minority experience, personal preference, problem, rejection, second generation immigrant, second-generation immigrant",Adolescence,Distraction,Hua Hsu,Stay True,,"March 24, 2024 12:48 AM"
"I would definitely like to improve my Mandarin, though I'm uncertain about its practical application. Potentially, it could enhance my communication with my parents. Nevertheless, there are moments when I feel a stronger need to speak English, even with my Italian friend. This preference may be influenced by my surroundings or circumstances. Interestingly, my cousins, who moved here in their early 20s, have experienced significant assimilation pressure. However, their struggle lies with assimilating not just into white society, but also among Asian Americans.",language,"assimilation, language",Adolescence,"Apprehension, Interest, Nostalgic",annonymous,Thesis Interviewee,,"March 23, 2024 6:02 PM"
"My brother despised Weekend Chinese school, so I never attended. My mom didn't want the hassle of another child complaining. Despite his dislike for it, he did feel more assimilated to the culture as he improved his Mandarin, which is now better than mine. Additionally, he can understand Taiwanese.","Chinese School, Weekend School","assimilation, cultural difference, language",Adolescence,"Acceptance, Disgust, Interest",annonymous,Thesis Interviewee,,"March 23, 2024 6:01 PM"
"In elementary school, my cousins from Taiwan visited. They didn't speak English and stayed with me during summer school. I was embarrassed having to speak Mandarin in public so they could understand. Now, I'm grateful for being bilingual and am not embarrassed to speak Mandarin anymore.",,"bilingual, embarrassment, language barrier",Adolescence,Embarrassment,annonymous,Thesis Interviewee,,"March 23, 2024 6:01 PM"
"Growing up, my mom and I listened to a lot of music. It's incredibly nostalgic for me, reminding me of my mom and my brother. I've attended a Leehom Wang concert, but never a Mayday. I remember in middle school, I went to a concert in Vegas. I was on a tour bus with a bunch of Taiwanese people. It was so different that I was too embarrassed to tell my friends where I went that weekend.","Leehom Wang, Mayday","cultural, embarrassment, music",Adolescence,"Embarrassment, Nostalgic",annonymous,Thesis Interviewee,,"March 23, 2024 6:01 PM"
"Growing up, I felt unattractive, believing that if I wasn't white, I wasn't beautiful. Seeing attractive Asian representations in media was a very exciting time. These recent cultural moments definitely contribute. Now, everyone's really into KPop, too.",,"Asian American experience, cultural pride, racial representation",Adolescence,"Interest, Joy",annonymous,Thesis Interviewee,,"March 23, 2024 6:00 PM"
"We play this Taiwanese game called Red 10. These moments truly contribute to my happiness of being Taiwanese. It can be hard to connect with my dad, but he's improving his emotional intelligence. Many Asian families can relate to a parent commenting on their appearance. Having a game like this was a buffer for us, showing our love for each other in a non-verbal way. My parents don't tell me they love me or that they're proud of me. They're not used to that kind of language. We don't really hug or kiss. Playing games was a moment where we all came together, spending quality time. Movies like Crazy Rich Asians, despite not being a cultural movement, were significant. ",Red 10,"Asian, cultural, family",Adolescence,"Joy, Nostalgic, Trust",annonymous,Thesis Interviewee,,"March 23, 2024 6:00 PM"
